name,address,website,postal_code,G3,G6,school_level
Abbey Lane Public School (Oakville),"55 Elm St, Wallaceburg, Ontario, N8A3M7",http://aawright.lkdsb.net/,N8A3M7,72.5,77.33333333333333,Elementary
A B Ellis Public School (Espanola),"1160 Old Abbey Lane, Oakville, Ontario, L6M1S4",http://abb.hdsb.ca/,L6M1S4,72.5,77.33333333333333,Elementary
Aberarder Central School (Camlachie),"164 Mead Boulevard, Espanola, Ontario, P5E1S7",http://www.rainbowschools.ca/elementary/ab_ellis/index.php,P5E1S7,72.5,77.33333333333333,Elementary
Aberdeen Public School (London),"4804 Aberarder Line RR 2, Camlachie, Ontario, N0N1E0",http://aberarder.lkdsb.net/,N0N1E0,72.5,77.33333333333333,Elementary
Abbey Lane Public School (Oakville),"55 Elm St, Wallaceburg, Ontario, N8A3M7",http://aawright.lkdsb.net/,N8A3M7,72.5,77.33333333333333,Elementary
A B Ellis Public School (Espanola),"1160 Old Abbey Lane, Oakville, Ontario, L6M1S4",http://abb.hdsb.ca/,L6M1S4,72.5,77.33333333333333,Elementary
Aberarder Central School (Camlachie),"164 Mead Boulevard, Espanola, Ontario, P5E1S7",http://www.rainbowschools.ca/elementary/ab_ellis/index.php,P5E1S7,72.5,77.33333333333333,Elementary
Aberdeen Public School (London),"4804 Aberarder Line RR 2, Camlachie, Ontario, N0N1E0",http://aberarder.lkdsb.net/,N0N1E0,72.5,77.33333333333333,Elementary
Aberfoyle Public School (Puslinch),"580 Grey St, London, Ontario, N6B1H8",http://www.tvdsb.ca/Aberdeen.cfm,N6B1H8,72.5,77.33333333333333,Elementary
Abraham Erb Public School (Waterloo),"16 Old Brock Rd RR 3, Puslinch, Ontario, N1H6H9",http://www.ugdsb.on.ca/aberfoyle,N1H6H9,72.5,77.33333333333333,Elementary
Académie Alexandre-Dumas (Scarborough),"710 Laurelwood Dr, Waterloo, Ontario, N2V2V3",http://abe.wrdsb.ca/,N2V2V3,72.5,77.33333333333333,Elementary
Académie de la Moraine (Aurora),"255 Coronation promenade, Scarborough, Ontario, M1E2J3",http://csviamonde.ca/ecoles/alexandredumas,M1E2J3,72.5,77.33333333333333,Elementary
Académie de la Tamise (London),"115 George rue, Aurora, Ontario, L4G2S3",http://lamoraine.csviamonde.ca/,L4G2S3,72.5,77.33333333333333,Elementary
Académie La Pinède (Borden),"1260 Dundas rue, London, Ontario, N5W5P2",http://latamise.csviamonde.ca/,N5W5P2,72.5,77.33333333333333,Elementary
Acton Elementary School (Acton),"116 Waterloo est chemin, Borden, Ontario, L0M1C0",http://lapinede.csviamonde.ca/,L0M1C0,72.5,77.33333333333333,Elementary
Adam Beck Junior Public School (Toronto),"21 Cedar Road, Acton, Ontario, L7J2V2",https://www.app.edu.gov.on.ca/eng/sift/index.asp,L7J2V2,72.5,77.33333333333333,Elementary
Adam Scott Intermediate School (Peterborough),"400 Scarborough Rd, Toronto, Ontario, M4E3M8",http://schoolweb.tdsb.on.ca/adambeck,M4E3M8,72.5,77.33333333333333,Elementary
